iter	Logloss
0	0.6652411515
1	0.6395992226
2	0.6166275262
3	0.5939262811
4	0.5735675023
5	0.5538144273
6	0.5356129923
7	0.5177594449
8	0.5011366814
9	0.4863323847
10	0.4724047513
11	0.4595170547
12	0.4477422938
13	0.4363434006
14	0.4257681576
15	0.4154025958
16	0.4059343944
17	0.3971458443
18	0.3894920786
19	0.3822262398
20	0.3750199858
21	0.3682906121
22	0.3617943605
23	0.355763235
24	0.3499252939
25	0.3444019422
26	0.3396184021
27	0.3349815711
28	0.3303636757
29	0.3264994805
30	0.3223873942
31	0.3186398277
32	0.3149656326
33	0.3119361307
34	0.3087400356
35	0.306097004
36	0.3032713567
37	0.3004608173
38	0.2980294992
39	0.2955852073
40	0.2935463892
41	0.2916220318
42	0.2896542816
43	0.2878078687
44	0.2860944796
45	0.2843940983
46	0.2828793473
47	0.2814019764
48	0.280030835
49	0.2786867759
50	0.2773149739
51	0.276185406
52	0.2750188137
53	0.2740853434
54	0.2729756766
55	0.2718803555
56	0.2709261203
57	0.26998618
58	0.2692615778
59	0.2684727163
60	0.2676835668
61	0.2669033601
62	0.2662581251
63	0.2656113487
64	0.2650597926
65	0.2645215491
66	0.2639456545
67	0.2633988238
68	0.2627797396
69	0.2622916299
70	0.2619235871
71	0.2614761263
72	0.2610369478
73	0.2606415347
74	0.2602196489
75	0.2598494043
76	0.259471521
77	0.2591575753
78	0.2587757965
79	0.258434057
80	0.2581493447
81	0.2578045396
82	0.2575580712
83	0.2572058815
84	0.2569620383
85	0.2566646909
86	0.2563860251
87	0.2561242117
88	0.2558665479
89	0.2556224337
90	0.2553998296
91	0.25518544
92	0.2550054158
93	0.2548277797
94	0.2546427082
95	0.2544749972
96	0.2543579281
97	0.2542300531
98	0.2540516379
99	0.2539351616
100	0.2537855564
101	0.2536326484
102	0.2535109046
103	0.2533598597
104	0.253224109
105	0.2530955566
106	0.2530032664
107	0.2528590302
108	0.2527469914
109	0.2526105971
110	0.2524643962
111	0.2523644166
112	0.2522637765
113	0.2521837149
114	0.252075741
115	0.2520010315
116	0.2518795757
117	0.251785812
118	0.251698078
119	0.2515681197
120	0.2514780991
121	0.2513947856
122	0.2513180437
123	0.2512560032
124	0.2511794306
125	0.2511117162
126	0.2510117366
127	0.2509796916
128	0.250882134
129	0.2508282064
130	0.2507523452
131	0.2506801424
132	0.2506305167
133	0.2505624636
134	0.2505142267
135	0.2504600111
136	0.250395701
137	0.2503223804
138	0.2502533787
139	0.2501983671
140	0.2501424578
141	0.2500973543
142	0.2500377019
143	0.249985468
144	0.2499319637
145	0.2498740728
146	0.2498199588
147	0.2497769556
148	0.2497292269
149	0.2496559062
150	0.2496031642
151	0.2495470347
152	0.2495163108
153	0.2494658722
154	0.249419888
155	0.2493717867
156	0.2493196713
157	0.2492674204
158	0.2492266867
159	0.2491652051
160	0.2491013015
161	0.2490727286
162	0.249029827
163	0.248996732
164	0.2489609439
165	0.2489157896
166	0.2488763771
167	0.2488395728
168	0.2487774476
169	0.2487516693
170	0.2487178798
171	0.2486833621
172	0.2486551618
173	0.2486243871
174	0.2485982871
175	0.2485740332
176	0.2485397695
177	0.2485235099
178	0.2484905842
179	0.2484712929
180	0.2484301527
181	0.2484124026
182	0.2483810182
183	0.2483567474
184	0.2483303425
185	0.2482984161
186	0.2482644064
187	0.2482273311
188	0.2481996729
189	0.2481710323
190	0.2481438483
191	0.2480988634
192	0.2480857371
193	0.2480639222
194	0.2480288963
195	0.2480042867
196	0.247963841
197	0.2479410775
198	0.2479123522
199	0.2478974307
200	0.2478492955
201	0.2478189103
202	0.2478047509
203	0.2477713002
204	0.2477491465
205	0.2477228093
206	0.2476804328
207	0.2476597865
208	0.2476357866
209	0.2476133958
210	0.2475887015
211	0.2475669374
212	0.2475296758
213	0.2475074882
214	0.247482794
215	0.2474513418
216	0.2474196017
217	0.2473895214
218	0.2473715173
219	0.2473451463
220	0.2473248218
221	0.2473042771
222	0.2472692004
223	0.2472563621
224	0.247234852
225	0.2472146122
226	0.2471870217
227	0.2471794508
228	0.2471563995
229	0.2471374807
230	0.2471194427
231	0.2471105846
232	0.2470996941
233	0.2470767952
234	0.2470622462
235	0.2470357905
236	0.2470034576
237	0.2469961577
238	0.2469644854
239	0.2469474128
240	0.2469314581
241	0.2469122175
242	0.2468984138
243	0.2468866256
244	0.2468694853
245	0.2468521587
246	0.246838609
247	0.2468221631
248	0.2467998908
249	0.246781006
250	0.2467677273
251	0.2467495369
252	0.2467232675
253	0.2467060255
254	0.2466866326
255	0.2466621923
256	0.2466463392
257	0.2466357874
258	0.2466160219
259	0.2465994913
260	0.246590955
261	0.2465724597
262	0.2465590624
263	0.2465362143
264	0.246523376
265	0.2465146873
266	0.2465005787
267	0.2464844038
268	0.2464662981
269	0.2464480399
270	0.2464327457
271	0.246421076
272	0.2464077127
273	0.2463931299
274	0.2463726699
275	0.2463492798
276	0.2463189116
277	0.2463121198
278	0.2463015002
279	0.2462893394
280	0.2462717418
281	0.246252315
282	0.2462416446
283	0.2462356827
284	0.2462233526
285	0.2462175093
286	0.2461985397
287	0.2461817212
288	0.2461705258
289	0.2461573826
290	0.2461510312
291	0.2461402423
292	0.2461293009
293	0.2461046914
294	0.2460921071
295	0.2460678532
296	0.24605471
297	0.2460485788
298	0.2460389924
299	0.246020531
300	0.2460141288
301	0.2460044408
302	0.24597934
303	0.2459679244
304	0.2459578977
305	0.2459540699
306	0.245944077
307	0.2459311371
308	0.2459058331
309	0.2458929609
310	0.2458769554
311	0.245868978
312	0.245857122
313	0.2458438772
314	0.2458372887
315	0.2458306832
316	0.2458203347
317	0.2458126114
318	0.2458045493
319	0.2457888317
320	0.2457794824
321	0.2457660344
322	0.2457567529
323	0.2457350565
324	0.2457159006
325	0.245702334
326	0.245677301
327	0.2456620577
328	0.2456547916
329	0.2456425123
330	0.2456331799
331	0.2456267947
332	0.2456060129
333	0.2455892282
334	0.2455797265
335	0.2455631451
336	0.2455547104
337	0.2455497309
338	0.2455415673
339	0.2455278821
340	0.2455048307
341	0.2454979712
342	0.2454890792
343	0.2454784428
344	0.2454685515
345	0.245455239
346	0.2454420111
347	0.2454368283
348	0.2454305616
349	0.2454225334
350	0.2454050205
351	0.2453937065
352	0.2453862881
353	0.2453678944
354	0.2453521599
355	0.2453409306
356	0.245336239
357	0.2453228079
358	0.2453073613
359	0.2452929478
360	0.2452811766
361	0.2452709127
362	0.2452518754
363	0.2452363102
364	0.245226148
365	0.2452180182
366	0.2452061284
367	0.245195729
368	0.2451827721
369	0.2451779959
370	0.2451691547
371	0.2451566043
372	0.2451437491
373	0.24513838
374	0.2451249489
375	0.2451115009
376	0.2451011184
377	0.2450833345
378	0.2450716479
379	0.2450600799
380	0.2450465641
381	0.2450395352
382	0.2450283737
383	0.2450192107
384	0.2450114197
385	0.2450054409
386	0.2449906887
387	0.2449807297
388	0.2449723797
389	0.244965029
390	0.2449585252
391	0.2449471942
392	0.2449391999
393	0.2449337293
394	0.2449248881
395	0.2449097802
396	0.2448994825
397	0.2448945707
398	0.2448848319
399	0.2448746697
400	0.2448570551
401	0.2448477058
402	0.2448367475
403	0.2448262635
404	0.2448137131
405	0.2448073109
406	0.2448013321
407	0.2447943032
408	0.2447843611
409	0.2447797034
410	0.2447718785
411	0.2447662723
412	0.2447559068
413	0.2447442711
414	0.244732178
415	0.2447211011
416	0.2447085677
417	0.2447007597
418	0.2446955261
419	0.2446865326
420	0.2446781656
421	0.2446667162
422	0.2446592639
423	0.2446474926
424	0.2446239162
425	0.2446198513
426	0.2446084357
427	0.2446038118
428	0.2445967321
429	0.2445842495
430	0.2445629088
431	0.2445553887
432	0.2445482582
433	0.2445442272
434	0.2445331842
435	0.2445213283
436	0.244514672
437	0.2445082698
438	0.244497718
439	0.2444789178
440	0.2444698565
441	0.2444652665
442	0.2444567641
443	0.2444520725
