iter	Passed	Remaining
0	57	57189
1	103	51669
2	149	49695
3	197	49183
4	242	48277
5	287	47660
6	333	47342
7	379	47015
8	424	46716
9	469	46433
10	513	46196
11	558	46002
12	603	45807
13	650	45812
14	697	45834
15	741	45604
16	786	45454
17	830	45331
18	875	45206
19	918	45026
20	964	44942
21	1010	44940
22	1058	44969
23	1103	44895
24	1148	44790
25	1194	44741
26	1238	44632
27	1283	44546
28	1328	44470
29	1373	44397
30	1418	44335
31	1462	44254
32	1507	44178
33	1553	44131
34	1598	44065
35	1643	44017
36	1691	44031
37	1741	44089
38	1790	44121
39	1837	44104
40	1882	44042
41	1928	43995
42	1974	43946
43	2021	43916
44	2066	43862
45	2112	43807
46	2159	43790
47	2205	43739
48	2251	43689
49	2297	43657
50	2343	43605
51	2390	43572
52	2436	43533
53	2481	43466
54	2527	43430
55	2572	43371
56	2618	43322
57	2663	43263
58	2709	43215
59	2758	43215
60	2805	43184
61	2851	43135
62	2897	43100
63	2944	43063
64	2991	43030
65	3037	42984
66	3084	42954
67	3130	42910
68	3177	42871
69	3223	42832
70	3269	42779
71	3315	42730
72	3365	42736
73	3413	42719
74	3460	42678
75	3506	42628
76	3552	42578
77	3598	42532
78	3643	42480
79	3690	42441
80	3737	42399
81	3785	42375
82	3834	42365
83	3882	42333
84	3928	42287
85	3973	42232
86	4020	42189
87	4065	42133
88	4111	42086
89	4159	42053
90	4205	42005
91	4250	41946
92	4296	41905
93	4342	41853
94	4390	41824
95	4434	41760
96	4481	41717
97	4527	41670
98	4576	41650
99	4622	41601
100	4667	41549
101	4713	41499
102	4759	41450
103	4805	41401
104	4851	41349
105	4897	41305
106	4943	41259
107	4990	41213
108	5035	41164
109	5081	41116
110	5126	41059
111	5173	41021
112	5220	40980
113	5266	40933
114	5313	40890
115	5363	40876
116	5412	40848
117	5458	40797
118	5502	40740
119	5549	40695
120	5595	40644
121	5643	40616
122	5693	40592
123	5742	40568
124	5791	40538
125	5836	40484
126	5881	40431
127	5927	40378
128	5973	40334
129	6023	40308
130	6068	40257
131	6114	40208
132	6161	40167
133	6208	40122
134	6254	40075
135	6300	40024
136	6347	39982
137	6393	39933
138	6438	39882
139	6485	39839
140	6531	39790
141	6578	39747
142	6624	39699
143	6670	39653
144	6716	39601
145	6764	39566
146	6811	39526
147	6861	39499
148	6907	39451
149	6953	39405
150	6999	39356
151	7045	39305
152	7090	39253
153	7135	39197
154	7181	39149
155	7229	39115
156	7278	39078
157	7324	39030
158	7371	38988
159	7416	38938
160	7462	38890
161	7507	38836
162	7549	38766
163	7594	38714
164	7640	38666
165	7688	38629
166	7736	38590
167	7785	38557
168	7831	38509
169	7878	38464
170	7926	38428
171	7975	38394
172	8025	38364
173	8069	38308
174	8116	38261
175	8162	38216
176	8207	38162
177	8259	38141
178	8307	38105
179	8353	38056
180	8399	38007
181	8447	37969
182	8493	37921
183	8539	37868
184	8584	37820
185	8630	37768
186	8675	37717
187	8721	37667
188	8768	37623
189	8817	37590
190	8863	37541
191	8908	37490
192	8954	37442
193	9000	37393
194	9050	37362
195	9099	37326
196	9146	37283
197	9196	37248
198	9242	37200
199	9288	37155
200	9334	37106
201	9381	37060
202	9429	37021
203	9478	36983
204	9529	36955
205	9575	36907
206	9622	36861
207	9667	36811
208	9713	36761
209	9760	36716
210	9805	36664
211	9851	36618
212	9895	36562
213	9940	36511
214	9986	36462
215	10032	36413
216	10077	36363
217	10126	36326
218	10176	36292
219	10222	36243
220	10272	36208
221	10317	36159
222	10363	36110
223	10407	36053
224	10452	36003
225	10497	35951
226	10543	35902
227	10592	35865
228	10637	35813
229	10679	35753
230	10726	35707
231	10765	35636
232	10809	35583
233	10855	35534
234	10901	35488
235	10950	35450
236	10998	35409
237	11052	35386
238	11101	35347
239	11148	35302
240	11195	35258
241	11240	35207
242	11286	35159
243	11334	35119
244	11384	35082
245	11432	35042
246	11477	34991
247	11523	34941
248	11571	34900
249	11617	34851
250	11662	34800
251	11707	34751
252	11754	34706
253	11803	34665
254	11849	34618
255	11894	34567
256	11941	34524
257	11986	34472
258	12035	34434
259	12082	34387
260	12130	34345
261	12175	34295
262	12223	34253
263	12271	34212
264	12320	34170
265	12369	34131
266	12414	34082
267	12461	34037
268	12508	33990
269	12559	33956
270	12602	33901
271	12656	33874
272	12701	33825
273	12747	33775
274	12793	33728
275	12839	33680
276	12885	33632
277	12933	33590
278	12979	33543
279	13025	33494
280	13071	33446
281	13117	33398
282	13156	33333
283	13206	33294
284	13254	33251
285	13303	33211
286	13349	33163
287	13395	33116
288	13441	33069
289	13488	33023
290	13535	32978
291	13582	32933
292	13628	32884
293	13674	32836
294	13719	32786
295	13764	32736
296	13805	32677
297	13851	32629
298	13898	32585
299	13947	32543
300	13994	32497
301	14040	32450
302	14086	32404
303	14132	32355
304	14181	32314
305	14228	32270
306	14277	32228
307	14323	32180
308	14370	32134
309	14416	32088
310	14468	32055
311	14517	32012
312	14568	31975
313	14613	31926
314	14659	31878
315	14708	31836
316	14759	31801
317	14809	31760
318	14858	31720
319	14904	31671
320	14949	31622
321	14995	31573
322	15043	31530
323	15093	31491
324	15147	31460
325	15195	31415
326	15240	31366
327	15286	31317
328	15339	31286
329	15387	31241
330	15431	31189
331	15478	31142
332	15522	31092
333	15567	31041
334	15608	30984
335	15655	30938
336	15699	30887
337	15744	30837
338	15793	30794
339	15839	30746
340	15884	30697
341	15935	30658
342	15983	30615
343	16028	30566
344	16074	30518
345	16127	30484
346	16173	30436
347	16217	30384
348	16266	30341
349	16318	30306
350	16365	30259
351	16417	30223
352	16463	30175
353	16509	30128
354	16554	30078
355	16603	30036
356	16646	29982
357	16692	29934
358	16740	29889
359	16788	29845
360	16836	29802
361	16882	29754
362	16928	29706
363	16974	29658
364	17026	29622
365	17078	29583
366	17123	29533
367	17164	29477
