iter	Logloss
0	0.6652410838
1	0.6395992226
2	0.6166275939
3	0.5939264844
4	0.5735676378
5	0.5538144612
6	0.5356131617
7	0.5177594111
8	0.5011367492
9	0.4863324524
10	0.4724048529
11	0.4595171224
12	0.4477424293
13	0.4363435022
14	0.4257681915
15	0.4154026974
16	0.4059344283
17	0.3971459798
18	0.3894921463
19	0.3822263415
20	0.3750200196
21	0.3682906799
22	0.3617943605
23	0.3557633367
24	0.3499252939
25	0.3444020099
26	0.3396184699
27	0.3349815372
28	0.3303637435
29	0.3264995144
30	0.3223873942
31	0.3186397938
32	0.3149656665
33	0.3119361984
34	0.3087400356
35	0.306097004
36	0.3032713906
37	0.3004607496
38	0.2980294992
39	0.2955851735
40	0.2935463214
41	0.2916220318
42	0.2896543155
43	0.2878078349
44	0.2860944119
45	0.2843940644
46	0.2828793134
47	0.2814019426
48	0.2800308011
49	0.2786867759
50	0.27731494
51	0.2761854568
52	0.2750187968
53	0.2740853095
54	0.2729756088
55	0.2718803216
56	0.2709261203
57	0.2699861461
58	0.2692497218
59	0.2684608434
60	0.2676726593
61	0.2668932656
62	0.2662478951
63	0.2656019994
64	0.2650505789
65	0.264512437
66	0.2639370843
67	0.2633908465
68	0.2627721687
69	0.2623105655
70	0.2619425227
71	0.2614946724
72	0.2610556294
73	0.2606706664
74	0.260228761
75	0.2598556202
76	0.2594776692
77	0.2591633
78	0.258761129
79	0.2584055519
80	0.2581023273
81	0.2577730027
82	0.2575271779
83	0.2571940086
84	0.2569546029
85	0.2566609647
86	0.256409737
87	0.2561626589
88	0.2559021157
89	0.2556548682
90	0.2554287412
91	0.2552122514
92	0.2550019776
93	0.2548255271
94	0.2546400491
95	0.254487429
96	0.2543709358
97	0.2542441448
98	0.2540523662
99	0.2539359576
100	0.2537642834
101	0.2536084284
102	0.2534901059
103	0.2533400942
104	0.2532038015
105	0.2530532139
106	0.2529467982
107	0.2528024942
108	0.2526923693
109	0.2525600907
110	0.2524284049
111	0.2523328459
112	0.2522270569
113	0.2521447765
114	0.2520483707
115	0.2519387369
116	0.2518330326
117	0.2517407425
118	0.2516534657
119	0.2515291306
120	0.2514390761
121	0.251355644
122	0.2512537167
123	0.251191185
124	0.2511325827
125	0.2510637504
126	0.2509758977
127	0.2509438358
128	0.2508569147
129	0.2507953484
130	0.2507272614
131	0.2506555498
132	0.250605687
133	0.2505388871
134	0.250491006
135	0.2504305576
136	0.2503679073
137	0.2503157072
138	0.250264608
139	0.2502093423
140	0.2501571253
141	0.250112242
142	0.2500462044
143	0.2499944108
144	0.249941042
145	0.2498832019
146	0.2498199588
147	0.2497773621
148	0.2497300737
149	0.2496768744
150	0.2496072799
151	0.2495535724
152	0.2495233397
153	0.2494721728
154	0.2494262394
155	0.2493785615
156	0.2493274624
157	0.2492766172
158	0.2492407953
159	0.2491976227
160	0.2491284008
161	0.2490940186
162	0.2490482546
163	0.2490137707
164	0.2489768478
165	0.248934539
166	0.2488914341
167	0.2488674681
168	0.2488000924
169	0.2487741787
170	0.248740728
171	0.2487093266
172	0.2486740467
173	0.2486435261
174	0.2486176462
175	0.2485964748
176	0.248567902
177	0.2485419713
178	0.2485069115
179	0.2484818785
180	0.2484414159
181	0.2484238013
182	0.248392112
183	0.248368417
184	0.248341504
185	0.2483096454
186	0.2482756526
187	0.2482409655
188	0.2482137307
189	0.2481795347
190	0.248144458
191	0.2481015564
192	0.2480888197
193	0.248067733
194	0.2480336048
195	0.2480100961
196	0.2479724789
197	0.2479501727
198	0.247917535
199	0.2479024948
200	0.2478543766
201	0.2478247536
202	0.2478108314
203	0.2477783122
204	0.2477626454
205	0.2477337168
206	0.2476936945
207	0.2476734208
208	0.2476488959
209	0.2476258784
210	0.247601218
211	0.2475788611
212	0.2475599254
213	0.2475311663
214	0.2475100118
215	0.24747795
216	0.2474466502
217	0.2474255297
218	0.2474081014
219	0.247383712
220	0.2473635908
221	0.2473426904
222	0.2473119665
223	0.2472766697
224	0.2472499768
225	0.2472181182
226	0.2471908495
227	0.2471792306
228	0.2471562809
229	0.2471379042
230	0.247118291
231	0.2470834853
232	0.2470775065
233	0.2470544552
234	0.2470377383
235	0.247012231
236	0.246980728
237	0.2469666195
238	0.2469370134
239	0.2469188569
240	0.2468886411
241	0.2468669447
242	0.2468533951
243	0.2468357127
244	0.2468200459
245	0.2468012627
246	0.2467851386
247	0.2467684895
248	0.2467532292
249	0.2467343274
250	0.2467209979
251	0.2466997588
252	0.2466847864
253	0.2466670702
254	0.2466471353
255	0.2466228475
256	0.246607367
257	0.2465950537
258	0.2465752882
259	0.2465597569
260	0.2465442256
261	0.2465276611
262	0.2465214621
263	0.2464947354
264	0.2464823205
265	0.2464710574
266	0.2464572028
267	0.2464413159
268	0.2464221092
269	0.2464085934
270	0.2463937565
271	0.2463827474
272	0.2463670637
273	0.2463485684
274	0.246332512
275	0.2463102737
276	0.2462969442
277	0.2462899492
278	0.2462750784
279	0.2462612916
280	0.2462433044
281	0.2462343447
282	0.2462235897
283	0.2462153244
284	0.2462034515
285	0.2461982857
286	0.2461829237
287	0.2461664948
288	0.2461549267
289	0.2461297752
290	0.2461236609
291	0.2461128889
292	0.2461018629
293	0.2460778461
294	0.2460653465
295	0.2460425831
296	0.2460294907
297	0.2460153821
298	0.2459968868
299	0.2459771213
300	0.2459707698
301	0.245960777
302	0.2459536295
303	0.245942739
304	0.2459326106
305	0.2459286812
306	0.2459186544
307	0.2459061549
308	0.2458815284
309	0.2458685037
310	0.2458563599
311	0.2458485011
312	0.2458381694
313	0.2458279733
314	0.2458213678
315	0.245814864
316	0.2458039565
317	0.2457959622
318	0.2457876631
319	0.245775028
320	0.245765865
321	0.2457522984
322	0.2457465398
323	0.2457331087
324	0.245714461
325	0.2457010638
326	0.2456772163
327	0.2456631755
328	0.2456557401
329	0.2456438672
330	0.2456308934
331	0.2456176656
332	0.2456118223
333	0.2455952747
334	0.2455855867
335	0.2455786425
336	0.2455648557
337	0.2455534571
338	0.2455449547
339	0.2455317607
340	0.2455152809
341	0.2455084214
342	0.2455007489
343	0.245492382
344	0.2454796114
345	0.2454663158
346	0.2454460252
347	0.2454408932
348	0.245434491
349	0.2454228044
350	0.2454070021
351	0.2453841032
352	0.2453769219
353	0.2453587653
354	0.2453452665
355	0.2453370181
356	0.2453319878
357	0.245318489
358	0.2453031778
359	0.2452931172
360	0.2452816677
361	0.24527137
362	0.2452516722
363	0.2452389694
364	0.2452288579
365	0.2452225912
366	0.2452106506
367	0.2452000141
368	0.2451872435
369	0.2451827552
370	0.245176082
371	0.2451635316
372	0.2451505747
373	0.2451452395
374	0.2451387865
375	0.2451255756
376	0.2451185975
377	0.2451080796
378	0.2450994078
379	0.2450867897
380	0.2450725625
381	0.2450671765
382	0.2450561505
383	0.2450472924
384	0.2450394675
385	0.245034217
386	0.2450196341
387	0.2450099631
388	0.2450030358
389	0.2449958375
390	0.2449892321
391	0.2449781552
392	0.2449699577
393	0.244964216
394	0.2449554595
395	0.2449402331
396	0.2449344237
397	0.2449293256
398	0.2449199594
399	0.2449080526
400	0.2448872878
401	0.2448794459
402	0.2448685892
403	0.2448580036
404	0.2448453177
405	0.2448342239
406	0.2448261449
407	0.2448177949
408	0.2448034323
409	0.2447990287
410	0.2447898488
411	0.2447846999
412	0.2447625292
413	0.2447508427
414	0.2447390883
415	0.2447299592
416	0.2447164434
417	0.2447072466
418	0.2446978973
419	0.244688294
420	0.244679961
421	0.2446686809
422	0.2446611947
423	0.2446491863
424	0.2446254066
425	0.2446213248
426	0.2446161251
427	0.2446113319
428	0.2446000688
429	0.2445932262
430	0.244581421
431	0.2445759673
432	0.2445689892
433	0.2445648566
434	0.2445501213
435	0.2445443966
436	0.2445398913
437	0.2445341666
438	0.2445233946
439	0.2445063728
440	0.2444970066
441	0.2444927385
442	0.2444846595
443	0.2444787146
444	0.2444728882
445	0.2444526823
446	0.2444474826
447	0.2444293938
448	0.2444116945
449	0.2443933517
450	0.2443872035
451	0.2443815296
452	0.2443739756
453	0.2443638981
454	0.2443543625
455	0.2443522454
456	0.2443357148
457	0.244324875
458	0.2443193366
459	0.2443136796
460	0.2443049062
461	0.2442862077
462	0.2442784674
463	0.2442762487
464	0.2442701175
465	0.2442595657
466	0.2442535361
467	0.244241172
468	0.2442158849
469	0.2442080261
470	0.2441925795
471	0.2441822648
472	0.2441767095
473	0.2441681562
474	0.2441588747
475	0.2441357556
476	0.2441235609
477	0.2441156343
478	0.2441130091
479	0.2441034058
480	0.244096868
481	0.244083149
482	0.2440688372
483	0.2440623333
484	0.2440554908
485	0.2440498846
486	0.2440469883
487	0.2440361655
488	0.2440340992
489	0.2440265961
490	0.2440192115
491	0.2440068475
492	0.2439866415
493	0.2439788674
494	0.2439577807
495	0.2439449763
496	0.2439350004
497	0.2439252446
498	0.2439131515
499	0.2439007705
500	0.2438950288
501	0.2438738067
502	0.2438639154
503	0.2438566325
504	0.2438459452
505	0.2438301259
506	0.2438253158
507	0.2438205057
508	0.243815848
509	0.2438055502
510	0.2438005369
511	0.2437873598
512	0.2437695759
513	0.2437589733
514	0.2437520968
515	0.2437410538
516	0.2437258613
517	0.2437168338
518	0.2437068917
519	0.2436874141
520	0.2436770655
521	0.2436635667
522	0.2436590275
523	0.2436485435
524	0.243638178
525	0.2436341639
526	0.2436188697
527	0.2436104351
528	0.2436072001
529	0.2435972241
530	0.2435895008
531	0.2435725976
532	0.2435650098
533	0.2435588955
534	0.2435515279
535	0.2435449055
536	0.2435328802
537	0.243522701
538	0.2435095409
539	0.24350009
540	0.2434918924
541	0.2434837796
542	0.2434745827
543	0.2434701621
544	0.2434654875
545	0.2434520225
546	0.2434496852
547	0.2434369655
548	0.2434285477
549	0.2434142528
550	0.2434087652
551	0.2434013129
552	0.2433988062
553	0.2433789051
554	0.243373824
555	0.2433634755
556	0.243359021
557	0.2433448108
558	0.2433357664
559	0.2433303465
560	0.2433223522
561	0.2433156113
562	0.2433109197
563	0.2433043142
564	0.2432981491
565	0.2432947279
566	0.2432882918
567	0.2432807039
568	0.2432712022
569	0.2432655453
570	0.2432546208
571	0.243242477
572	0.2432326196
573	0.2432215088
574	0.2432128201
575	0.2432040467
576	0.2432001004
577	0.2431875669
578	0.2431825536
579	0.243166277
580	0.2431520837
581	0.2431467824
582	0.2431412948
583	0.2431306583
584	0.243124832
585	0.2431151778
586	0.2431039147
587	0.2430924991
588	0.2430767645
