iter	Passed	Remaining
0	92	92862
1	138	69185
2	183	60955
3	229	57104
4	274	54713
5	320	53117
6	365	51796
7	412	51158
8	459	50649
9	504	49986
10	550	49493
11	595	49048
12	641	48717
13	685	48289
14	731	48066
15	777	47799
16	824	47679
17	869	47458
18	916	47297
19	961	47102
20	1007	46961
21	1055	46910
22	1100	46735
23	1144	46536
24	1191	46451
25	1239	46444
26	1284	46280
27	1331	46206
28	1379	46178
29	1425	46106
30	1474	46084
31	1519	45969
32	1565	45871
33	1610	45754
34	1658	45731
35	1704	45642
36	1751	45582
37	1799	45567
38	1848	45544
39	1893	45442
40	1936	45306
41	1982	45217
42	2028	45145
43	2074	45065
44	2119	44982
45	2164	44879
46	2208	44782
47	2255	44740
48	2302	44683
49	2347	44608
50	2392	44512
51	2437	44444
52	2483	44374
53	2528	44294
54	2577	44291
55	2625	44258
56	2669	44168
57	2714	44080
58	2757	43983
59	2805	43952
60	2855	43948
61	2900	43885
62	2946	43824
63	2991	43755
64	3037	43695
65	3082	43623
66	3127	43554
67	3174	43506
68	3220	43448
69	3265	43388
70	3311	43324
71	3356	43257
72	3402	43204
73	3450	43172
74	3494	43102
75	3540	43040
76	3585	42977
77	3631	42920
78	3675	42848
79	3720	42782
80	3764	42712
81	3811	42672
82	3859	42644
83	3907	42606
84	3952	42550
85	3998	42492
86	4043	42432
87	4088	42367
88	4133	42310
89	4179	42260
90	4225	42209
91	4269	42142
92	4315	42092
93	4364	42067
94	4405	41965
95	4450	41910
96	4496	41859
97	4542	41807
98	4587	41748
99	4632	41690
100	4677	41632
101	4722	41574
102	4767	41518
103	4812	41464
104	4857	41403
105	4902	41350
106	4947	41287
107	4992	41231
108	5038	41186
109	5082	41119
110	5125	41052
111	5175	41030
112	5222	40991
113	5267	40937
114	5317	40918
115	5363	40877
116	5415	40872
117	5459	40807
118	5504	40748
119	5552	40716
120	5598	40667
121	5646	40636
122	5690	40577
123	5735	40520
124	5776	40438
125	5823	40392
126	5870	40356
127	5916	40303
128	5961	40249
129	6009	40215
130	6055	40167
131	6099	40108
132	6146	40065
133	6191	40015
134	6236	39962
135	6282	39912
136	6327	39859
137	6373	39809
138	6417	39752
139	6462	39699
140	6507	39646
141	6554	39602
142	6601	39563
143	6648	39520
144	6700	39507
145	6747	39470
146	6792	39413
147	6839	39371
148	6884	39318
149	6928	39262
150	6973	39209
151	7018	39154
152	7062	39100
153	7108	39049
154	7155	39006
155	7201	38959
156	7246	38908
157	7291	38859
158	7340	38828
159	7389	38794
160	7435	38748
161	7484	38714
162	7529	38665
163	7574	38611
164	7622	38574
165	7672	38545
166	7719	38503
167	7767	38469
168	7813	38420
169	7862	38387
170	7913	38362
171	7957	38309
172	8003	38261
173	8048	38208
174	8094	38161
175	8143	38126
176	8197	38114
177	8248	38092
178	8293	38038
179	8338	37984
180	8382	37931
181	8432	37900
182	8477	37848
183	8522	37794
184	8567	37744
185	8613	37696
186	8659	37646
187	8703	37592
188	8749	37543
189	8795	37495
190	8840	37445
191	8885	37393
192	8930	37343
193	8979	37307
194	9031	37284
195	9081	37252
196	9125	37197
197	9174	37163
198	9222	37122
199	9270	37083
200	9315	37031
201	9360	36977
202	9408	36937
203	9455	36895
204	9505	36862
205	9551	36815
206	9596	36764
207	9642	36715
208	9688	36667
209	9732	36612
210	9777	36560
211	9822	36509
212	9871	36473
213	9919	36432
214	9964	36381
215	10009	36332
216	10054	36278
217	10103	36243
218	10153	36210
219	10198	36156
220	10249	36127
221	10294	36076
222	10340	36028
223	10385	35979
224	10431	35930
225	10475	35877
226	10522	35830
227	10571	35795
228	10621	35759
229	10662	35697
230	10708	35648
231	10754	35602
232	10807	35577
233	10853	35528
234	10900	35483
235	10948	35444
236	11000	35414
237	11048	35372
238	11098	35339
239	11144	35289
240	11192	35249
241	11244	35219
242	11288	35166
243	11337	35129
244	11386	35089
245	11436	35054
246	11480	35000
247	11525	34947
248	11569	34895
249	11616	34848
250	11660	34795
251	11705	34746
252	11753	34704
253	11803	34666
254	11849	34620
255	11896	34573
256	11942	34525
257	11988	34477
258	12036	34436
259	12081	34386
260	12130	34346
261	12175	34295
262	12228	34268
263	12273	34216
264	12319	34170
265	12363	34114
266	12407	34061
267	12452	34012
268	12497	33961
269	12545	33920
270	12589	33865
271	12639	33829
272	12684	33778
273	12728	33726
274	12775	33681
275	12820	33631
276	12866	33583
277	12914	33541
278	12960	33493
279	13006	33445
280	13052	33397
281	13092	33335
282	13130	33267
283	13177	33221
284	13224	33177
285	13277	33147
286	13322	33096
287	13367	33046
288	13413	32999
289	13457	32947
290	13499	32891
291	13542	32836
292	13588	32789
293	13634	32741
294	13681	32696
295	13729	32653
296	13770	32594
297	13815	32544
298	13862	32501
299	13910	32458
300	13957	32412
301	14003	32365
302	14047	32313
303	14093	32265
304	14141	32224
305	14188	32178
306	14234	32131
307	14278	32081
308	14324	32032
309	14370	31984
310	14419	31945
311	14466	31900
312	14516	31862
313	14565	31821
314	14615	31782
315	14663	31739
316	14714	31704
317	14762	31660
318	14809	31614
319	14852	31562
320	14897	31512
321	14942	31462
322	14989	31417
323	15034	31368
324	15087	31335
325	15135	31292
326	15182	31246
327	15230	31203
328	15281	31167
329	15332	31130
330	15377	31079
331	15423	31032
332	15471	30989
333	15515	30938
334	15557	30882
335	15606	30841
336	15651	30791
337	15695	30740
338	15743	30697
339	15787	30647
340	15833	30599
341	15882	30558
342	15927	30508
343	15973	30460
344	16017	30409
345	16072	30380
346	16118	30332
347	16161	30279
348	16213	30242
349	16258	30194
350	16304	30147
351	16349	30098
352	16394	30048
353	16441	30003
354	16490	29961
355	16538	29917
356	16579	29862
357	16625	29814
358	16670	29764
359	16721	29726
360	16772	29688
361	16816	29637
362	16862	29590
363	16906	29540
364	16959	29504
365	17003	29454
366	17049	29406
367	17090	29351
368	17136	29303
369	17186	29263
370	17235	29222
371	17280	29172
372	17324	29122
373	17373	29079
374	17418	29030
375	17462	28981
376	17512	28938
377	17558	28892
378	17607	28850
379	17652	28800
380	17700	28758
381	17745	28709
382	17790	28660
383	17836	28612
384	17881	28563
385	17925	28513
386	17971	28466
387	18017	28418
388	18066	28376
389	18121	28343
390	18162	28288
391	18207	28240
392	18251	28190
393	18301	28148
394	18349	28104
395	18398	28061
396	18444	28015
397	18493	27972
398	18540	27926
399	18589	27883
400	18635	27836
401	18683	27792
402	18730	27747
403	18777	27701
404	18825	27657
405	18873	27613
406	18918	27564
407	18963	27516
408	19008	27467
409	19055	27420
410	19100	27373
411	19141	27319
412	19187	27270
413	19232	27222
414	19280	27178
415	19323	27127
416	19369	27079
417	19413	27030
418	19462	26986
419	19507	26939
420	19557	26897
421	19602	26848
422	19648	26801
423	19693	26753
424	19737	26704
425	19781	26653
426	19824	26603
427	19870	26555
428	19913	26504
429	20011	26527
430	20065	26490
431	20115	26448
432	20163	26403
433	20215	26364
434	20262	26317
435	20307	26268
436	20355	26224
437	20409	26186
438	20459	26144
439	20505	26097
440	20552	26051
441	20599	26006
442	20646	25959
443	20691	25910
444	20737	25863
445	20783	25816
446	20845	25789
447	20896	25747
448	20942	25699
449	20993	25659
450	21042	25615
451	21092	25572
452	21140	25527
453	21186	25480
454	21232	25432
455	21273	25379
456	21320	25332
457	21365	25284
458	21410	25234
459	21460	25193
460	21511	25150
461	21557	25103
462	21606	25060
463	21652	25012
464	21701	24968
465	21748	24921
466	21849	24937
467	21911	24907
468	21956	24859
469	22010	24820
470	22056	24772
471	22102	24724
472	22152	24681
473	22200	24635
474	22247	24589
475	22293	24541
476	22338	24492
477	22384	24445
478	22429	24396
479	22475	24348
480	22524	24304
481	22571	24257
482	22617	24210
483	22665	24164
484	22715	24120
485	22762	24074
486	22817	24036
487	22865	23989
488	22922	23953
489	22969	23907
490	23016	23860
491	23062	23812
