iter	Passed	Remaining
0	45	45378
1	88	44406
2	134	44575
3	179	44706
4	224	44750
5	270	44753
6	313	44480
7	357	44373
8	402	44330
9	448	44434
10	494	44427
11	539	44419
12	583	44289
13	628	44256
14	673	44218
15	721	44387
16	771	44605
17	818	44629
18	862	44525
19	906	44424
20	950	44311
21	996	44300
22	1040	44204
23	1085	44155
24	1131	44121
25	1175	44049
26	1219	43956
27	1265	43929
28	1308	43816
29	1352	43736
30	1397	43691
31	1442	43633
32	1487	43575
33	1533	43577
34	1578	43516
35	1622	43441
36	1666	43387
37	1710	43312
38	1755	43252
39	1801	43224
40	1845	43160
41	1888	43077
42	1932	43020
43	1978	42983
44	2024	42954
45	2071	42956
46	2115	42890
47	2159	42835
48	2203	42762
49	2247	42703
50	2291	42635
51	2354	42929
52	2398	42864
53	2442	42789
54	2486	42728
55	2531	42677
56	2576	42623
57	2622	42595
58	2668	42552
59	2712	42491
60	2757	42451
61	2806	42467
62	2857	42495
63	2901	42438
64	2946	42380
65	2990	42319
66	3035	42267
67	3078	42198
68	3125	42170
69	3170	42128
70	3214	42060
71	3260	42021
72	3304	41966
73	3349	41919
74	3397	41907
75	3443	41863
76	3489	41829
77	3533	41767
78	3578	41715
79	3625	41693
80	3672	41671
81	3718	41625
82	3798	41964
83	3849	41975
84	3919	42194
85	3976	42258
86	4031	42308
87	4082	42311
88	4133	42314
89	4184	42314
90	4232	42282
91	4280	42247
92	4325	42183
93	4368	42106
94	4413	42046
95	4459	41994
96	4504	41935
97	4549	41873
98	4594	41813
99	4637	41738
100	4684	41692
101	4729	41634
102	4773	41569
103	4818	41509
104	4864	41461
105	4908	41401
106	4954	41353
107	5026	41515
108	5074	41481
109	5121	41436
110	5169	41403
111	5221	41396
112	5267	41347
113	5315	41310
114	5360	41252
115	5405	41189
116	5449	41125
117	5495	41075
118	5540	41020
119	5586	40968
120	5631	40910
121	5676	40854
122	5722	40804
123	5771	40772
124	5817	40720
125	5861	40659
126	5905	40597
127	5951	40544
128	5995	40483
129	6040	40427
130	6084	40362
131	6130	40310
132	6175	40257
133	6219	40197
134	6263	40134
135	6310	40087
136	6357	40046
137	6402	39990
138	6445	39926
139	6490	39867
140	6533	39803
141	6579	39753
142	6623	39693
143	6667	39635
144	6711	39576
145	6755	39515
146	6799	39456
147	6846	39411
148	6891	39361
149	6937	39309
150	6982	39257
151	7026	39201
152	7072	39154
153	7120	39117
154	7165	39062
155	7208	39000
156	7253	38947
157	7298	38893
158	7343	38840
159	7389	38795
160	7435	38747
161	7484	38715
162	7528	38656
163	7572	38600
164	7617	38547
165	7661	38493
166	7708	38448
167	7753	38395
168	7799	38349
169	7844	38300
170	7893	38268
171	7943	38241
172	7993	38211
173	8039	38162
174	8084	38113
175	8129	38061
176	8174	38009
177	8218	37951
178	8261	37891
179	8308	37847
180	8352	37794
181	8395	37734
182	8439	37678
183	8484	37627
184	8528	37573
185	8573	37522
186	8614	37450
187	8658	37397
188	8703	37346
189	8749	37298
190	8792	37242
191	8837	37191
192	8886	37156
193	8934	37118
194	8982	37081
195	9026	37028
196	9074	36990
197	9121	36946
198	9168	36903
199	9217	36869
200	9262	36818
201	9309	36775
202	9354	36725
203	9398	36673
204	9444	36625
205	9489	36576
206	9532	36518
207	9575	36459
208	9620	36410
209	9663	36353
210	9707	36300
211	9750	36241
212	9795	36191
213	9842	36149
214	9886	36098
215	9934	36058
216	9977	36002
217	10017	35934
218	10061	35881
219	10103	35822
220	10146	35763
221	10189	35707
222	10231	35650
223	10276	35601
224	10319	35543
225	10364	35496
226	10408	35444
227	10457	35409
228	10504	35365
229	10559	35350
230	10610	35321
231	10665	35307
232	10724	35302
233	10780	35288
234	10830	35257
235	10893	35263
236	10943	35230
237	10991	35191
238	11039	35151
239	11088	35113
240	11133	35063
241	11179	35015
242	11236	35003
243	11281	34954
244	11328	34909
245	11378	34875
246	11426	34834
247	11474	34792
248	11523	34754
249	11569	34709
250	11614	34658
251	11659	34607
252	11706	34565
253	11755	34524
254	11802	34480
255	11848	34433
256	11890	34377
257	11933	34321
258	11979	34272
259	12024	34224
260	12070	34177
261	12118	34135
262	12158	34072
263	12202	34019
264	12248	33972
265	12294	33925
266	12337	33871
267	12380	33814
268	12422	33758
269	12466	33706
270	12513	33661
271	12557	33609
272	12603	33564
273	12648	33512
274	12691	33458
275	12735	33408
276	12787	33375
277	12835	33336
278	12879	33283
279	12922	33229
280	12966	33176
281	13009	33124
282	13052	33070
283	13101	33030
284	13148	32987
285	13198	32950
286	13251	32920
287	13302	32885
288	13347	32836
289	13393	32790
290	13467	32812
291	13518	32777
292	13568	32739
293	13614	32694
294	13665	32659
295	13712	32612
296	13756	32561
297	13801	32511
298	13845	32461
299	13889	32408
300	13933	32357
301	13977	32304
302	14021	32254
303	14070	32214
304	14115	32164
305	14165	32126
306	14211	32080
307	14256	32031
308	14300	31980
309	14344	31928
310	14388	31876
311	14432	31825
312	14476	31773
313	14515	31711
314	14558	31658
315	14604	31611
316	14648	31561
317	14692	31509
318	14735	31458
319	14779	31407
320	14825	31359
321	14871	31313
322	14915	31262
323	14960	31212
324	15004	31163
325	15049	31114
326	15098	31074
327	15144	31026
328	15185	30970
329	15229	30920
330	15273	30869
331	15316	30817
332	15360	30766
333	15405	30718
334	15449	30667
335	15493	30618
336	15539	30571
337	15576	30508
338	15622	30462
339	15668	30415
340	15710	30360
341	15755	30313
342	15799	30263
343	15844	30215
344	15890	30168
345	15941	30131
346	15984	30081
347	16031	30035
348	16077	29990
349	16125	29946
350	16169	29896
351	16216	29852
352	16260	29803
353	16305	29755
354	16350	29707
355	16394	29656
356	16439	29609
357	16486	29564
358	16529	29514
359	16574	29465
360	16619	29417
361	16664	29370
362	16712	29327
363	16757	29278
364	16801	29229
365	16845	29180
366	16889	29130
367	16935	29085
368	16980	29037
369	17026	28990
370	17070	28940
371	17113	28890
372	17158	28842
373	17203	28794
374	17248	28747
375	17292	28698
376	17339	28653
377	17384	28605
378	17430	28560
379	17467	28499
380	17510	28449
381	17555	28400
382	17598	28350
383	17642	28301
384	17685	28250
385	17730	28203
386	17773	28152
387	17840	28139
388	17883	28089
389	17937	28055
390	17982	28008
391	18026	27959
392	18074	27916
393	18119	27868
394	18162	27818
395	18208	27773
396	18251	27722
397	18295	27673
398	18340	27626
399	18384	27576
400	18431	27532
401	18475	27484
402	18519	27434
403	18566	27390
404	18616	27350
405	18666	27310
406	18710	27261
407	18752	27209
408	18795	27159
409	18838	27108
410	18883	27062
411	18928	27014
412	18972	26965
413	19016	26916
414	19054	26860
415	19099	26812
416	19146	26768
417	19189	26718
418	19234	26670
419	19276	26620
420	19319	26570
421	19363	26521
422	19409	26476
423	19459	26435
424	19498	26379
425	19542	26331
426	19586	26282
427	19630	26234
428	19675	26187
429	19718	26138
430	19761	26089
431	19805	26040
432	19849	25992
433	19896	25947
